Anger,Sadness,Disgust,Joy,Surprise,Fear
,,,,,
0.000582287,8.53E-05,0.4284185,6.97E-05,42.98115,2.32876
,,,,,
0.000566318,0.000107044,0.4280708,6.97E-05,41.45441,1.233017
,,,,,
0.000735767,9.63E-05,0.4275707,6.97E-05,42.02701,1.61703
0.000644454,0.000100282,0.4255458,6.98E-05,41.5269,1.390117
0.000696028,9.82E-05,0.4247127,6.99E-05,41.46631,1.435708
0.000503917,0.000102838,0.4265455,7.00E-05,41.05974,1.250997
,,,,,
,,,,,
0.000407762,0.000143717,0.4249183,7.04E-05,38.54099,0.4799181
,,,,,
0.000285076,0.000185697,0.4254054,7.05E-05,36.64444,0.2223544
,,,,,
0.000236508,0.000271529,0.4221794,7.09E-05,33.90202,0.07402174
,,,,,
0.000161992,0.000391499,0.4164955,7.10E-05,31.43102,0.02451361
,,,,,
0.000113194,0.000498429,0.416141,7.12E-05,30.13617,0.01339041
4.39E-05,0.001230571,0.4176279,7.24E-05,24.43863,0.000971603
,,,,,
3.90E-05,0.001465222,0.4203878,7.20E-05,23.85914,0.000628903
3.32E-05,0.001701699,0.4210833,7.29E-05,22.828,0.000423154
3.36E-05,0.00189304,0.4189095,7.33E-05,22.19115,0.000321992
,,,,,
3.29E-05,0.002219609,0.4135207,7.41E-05,21.15967,0.00020554
,,,,,
3.56E-05,0.002360289,0.4121969,7.45E-05,20.84105,0.000183349
,,,,,
3.10E-05,0.002381688,0.4114919,7.59E-05,20.36238,0.000185012
2.32E-05,0.002508724,0.4165139,7.76E-05,19.69717,0.000176194
2.28E-05,0.002457683,0.4158091,7.82E-05,19.51166,0.000180316
,,,,,
2.42E-05,0.002552865,0.4176459,8.21E-05,18.39988,0.000191855
,,,,,
2.18E-05,0.002571219,0.4204226,8.28E-05,18.26846,0.00019819
,,,,,
2.45E-05,0.002938217,0.4189678,9.07E-05,16.23927,0.000198431
,,,,,
2.51E-05,0.003180546,0.4213661,9.50E-05,15.29931,0.000201997
,,,,,
3.22E-05,0.003562097,0.4227304,0.000111532,12.38811,0.000235634
3.49E-05,0.003646296,0.4230912,0.000117125,11.59374,0.000248722
3.89E-05,0.003949633,0.4243961,0.000128716,10.21505,0.000271079
,,,,,
5.13E-05,0.004378002,0.4256258,0.000156185,7.797223,0.000335846
8.41E-05,0.005801764,0.4260812,0.000213884,4.981623,0.000446663
,,,,,
0.000157662,0.007771836,0.4248987,0.000316405,2.781688,0.000658756
,,,,,
0.000125739,0.006513765,0.4267025,0.000273192,3.454978,0.000585718
0.000158709,0.006824465,0.4301291,0.000305123,2.929318,0.000668991
0.000304655,0.008902174,0.480345,0.000454788,1.61291,0.001028724
,,,,,
0.000608219,0.01114364,0.6276472,0.000628523,0.993223,0.001446006
0.001199689,0.01519845,1.213003,0.000939759,0.5393569,0.002176043
0.002314641,0.01799146,0.7932642,0.00118335,0.3798626,0.002764172
,,,,,
0.005626593,0.02151957,0.4351861,0.001524672,0.2581943,0.003607486
,,,,,
0.005663063,0.02346516,0.4328332,0.001725101,0.2139843,0.004102735
,,,,,
0.01208362,0.02274824,0.4302439,0.001810817,0.1995638,0.004288532
,,,,,
0.006816777,0.02233512,0.4293046,0.001827253,0.1979831,0.004307184
,,,,,
0.004795539,0.02314875,0.4314744,0.001830616,0.1972232,0.004346047
,,,,,
0.002851489,0.02338476,0.4352833,0.001829667,0.1965378,0.004393854
,,,,,
0.002198957,0.02397655,0.4401688,0.001805619,0.1937152,0.004473936
,,,,,
0.002258907,0.02548951,0.4436652,0.001703604,0.1836837,0.004648694
0.002536482,0.02679004,0.4482459,0.001623785,0.1769609,0.004823006
,,,,,
0.003295827,0.03180811,0.4546818,0.00138245,0.1541207,0.005279617
0.003999643,0.03220617,0.4772121,0.001333688,0.1524241,0.00551053
,,,,,
0.00467846,0.02667351,0.5230139,0.00148486,0.1755784,0.005476249
,,,,,
0.008941215,0.02014677,0.6706884,0.001636721,0.2164389,0.005847165
0.02783349,0.009239197,1.122371,0.002369405,0.3852755,0.006277902
,,,,,
0.0187846,0.01244335,0.9205124,0.002020035,0.3031271,0.006244655
,,,,,
0.02014051,0.009423077,0.9528586,0.002098916,0.3176377,0.006306836
0.01356294,0.009246891,0.7416863,0.001549952,0.2140086,0.006508338
,,,,,
0.008356709,0.003478987,0.6726971,0.001783308,0.2322491,0.005781622
,,,,,
0.007151532,0.002395214,0.7176128,0.00235286,0.3076893,0.005199058
,,,,,
0.004615542,0.002571543,0.6270447,0.002396669,0.2943497,0.004818321
,,,,,
0.004115894,0.002823181,0.5968983,0.002329106,0.2803625,0.004779678
,,,,,
0.002854716,0.003750227,0.4999286,0.002037558,0.2292271,0.004701816
,,,,,
0.002685753,0.00459251,0.4824268,0.002047002,0.2283576,0.004640673
,,,,,
0.002730125,0.008406768,0.5024272,0.002124567,0.2385475,0.004601914
,,,,,
0.00257131,0.01420929,0.487834,0.002069565,0.2297363,0.004589913
,,,,,
0.002535992,0.01897096,0.4835893,0.002042453,0.2259915,0.004596935
,,,,,
0.002251036,0.02144585,0.4547901,0.001931389,0.2087888,0.004589909
,,,,,
0.002200581,0.02207012,0.448477,0.001903464,0.204779,0.0045984
,,,,,
0.002262158,0.02137616,0.4561361,0.001940422,0.2100607,0.00459647
,,,,,
0.002165504,0.02254959,0.4441166,0.001881632,0.2017182,0.004593824
,,,,,
0.002219442,0.02185588,0.4488195,0.001894474,0.2040183,0.004605909
,,,,,
0.002422772,0.02019478,0.4695936,0.001979527,0.2168921,0.004597523
0.003052778,0.01635459,0.5310372,0.002231101,0.2562306,0.004596137
,,,,,
0.006493893,0.007712706,0.7992576,0.003365088,0.4512804,0.004573084
,,,,,
0.01895925,0.002642923,1.428511,0.006057176,1.014283,0.004500234
0.03152836,0.00165979,1.853944,0.00776591,1.448502,0.004447795
,,,,,
0.02771264,0.002067186,1.689095,0.006795138,1.223116,0.004569609
,,,,,
0.03649879,0.001589267,1.950622,0.007822822,1.483182,0.004589926
,,,,,
0.05246443,0.001177344,2.317539,0.009071403,1.85732,0.004569234
,,,,,
